Detalhes do Erro
Linha 3 - Dados incompletos: nome='None', Telefone='None'
Linha 4 - Dados incompletos: nome='None', Telefone='None'
Linha 5 - Dados incompletos: nome='None', Telefone='None'
Linha 6 - Dados incompletos: nome='None', Telefone='None'
Linha 7 - Dados incompletos: nome='None', Telefone='None'
Linha 8 - Dados incompletos: nome='None', Telefone='None'
Linha 9 - Dados incompletos: nome='None', Telefone='None'
Linha 10 - Dados incompletos: nome='None', Telefone='None'
Linha 11 - Dados incompletos: nome='None', Telefone='None'
Linha 12 - Dados incompletos: nome='None', Telefone='None'
Linha 13 - Dados incompletos: nome='None', Telefone='None'
Linha 14 - Dados incompletos: nome='None', Telefone='None'
Linha 15 - Dados incompletos: nome='None', Telefone='None'
Linha 16 - Dados incompletos: nome='None', Telefone='None'
Linha 17 - Dados incompletos: nome='None', Telefone='None'
Linha 18 - Dados incompletos: nome='None', Telefone='None'
